Nama Kota;;BDL;Liwa;KA;KLA;SKD;GNS;KTB;BBU;MGL;MTR;GTA;PRSW;MSJ;PNRG;KRUI
Bandar Lampung;;-;241,42;80,78;59,22;80,24;57,85;115,19;209,32;119,36;51,81;25,98;41,4;204,34;139,6;231
Liwa;;241,42;-;183,66;296,98;256,23;183,57;133,08;139,73;221,60;227,80;238,46;223,04;306,59;241,85;28,56
Kota Agung;;80,78;183,66;-;140,00;151,89;129,50;186,84;268,83;191,00;123,46;54,8;39,38;275,99;211,25;150,82
Kalianda;;59,22;296,98;140,00;-;135,80;113,41;169,41;264,88;174,92;107,38;85,2;100,62;259,9;195,16;325,54
Sukadana;;80,24;256,23;151,89;135,80;-;84,40;125,78;224,13;134,17;29,50;97,09;112,51;219,15;154,41;284,79
Gunung Sugih;;57,85;183,57;129,50;113,41;84,40;-;53,12;151,47;61,51;48,69;74,7;90,12;146,49;81,75;212,13
Kotabumi;;115,19;133,08;186,84;169,41;125,78;53,12;-;100,98;91,16;101,81;132,04;147,46;176,14;111,4;161,64
Blambangan Umpu;;209,32;139,73;268,88;264,88;224,13;151,47;100,98;-;189,51;200,16;214,03;229,45;274,49;209,75;168,29
Menggala;;119,36;221,60;174,92;174,92;134,17;61,51;91,16;189,51;-;110,20;136,2;151,62;86,68;21,94;250,16
Metro;;51,81;227,80;107,38;107,38;29,50;48,69;101,81;200,16;110,20;-;68,66;84,08;195,19;130,45;256,36
Gedong Tataan;;25,98;238,46;54,80;85,20;97,09;74,70;132,04;214,03;136,20;68,66;-;15,42;221,19;156,45;267,02
Pringsewu;;41,4;223,04;39,38;100,62;112,51;90,12;147,46;229,45;151,62;84,08;15,42;-;236,61;171,87;251,6
Mesuji;;204,34;306,59;275,99;259,9;219,15;146,49;176,14;274,49;86,68;195,19;221,19;236,61;-;108,62;335,15
Panaragan;;139,6;241,85;211,25;195,16;154,41;81,75;111,4;209,75;21,94;130,45;156,45;171,87;108,62;-;270,41
Krui;;231;28,56;150,82;325,54;284,79;212,13;161,64;168,29;250,16;256,36;267,02;251,6;335,15;270,41;-
